repeat,seed,fold,encoder,image_width,image_height,tile_count,aggregation,selected_c,validation_macro_f1,validation_balanced_accuracy,validation_log_loss
1,20260606,0,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.49789690,0.49901691,1.04769778
1,20260606,1,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.10000000,0.53667003,0.54506033,1.31760132
1,20260606,2,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.51592995,0.53985761,1.15079165
1,20260606,3,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.53753963,0.54907796,0.90170181
1,20260606,4,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.55946423,0.55223820,1.00155365
2,20260607,0,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.10000000,0.51714137,0.51816688,1.36755490
2,20260607,1,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.44000364,0.44650937,1.23204517
2,20260607,2,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.54109717,0.55030345,0.92308438
2,20260607,3,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.52144073,0.53302988,1.08404112
2,20260607,4,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.56515957,0.58084195,0.99011493
3,20260608,0,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.53492794,0.54506033,1.01289153
3,20260608,1,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.54537067,0.55734217,1.02138102
3,20260608,2,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.10000000,0.52517839,0.52532680,1.54082775
3,20260608,3,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,1.00000000,0.50005836,0.50005836,2.26456857
3,20260608,4,efficientnet_b0_tiles_meanmax,384,384,4,meanmax,0.01000000,0.58484962,0.57771763,0.93177241
