left_model,right_model,metric,paired_folds,mean_delta,sd_delta,min_delta,max_delta,left_better_folds
image_efficientnet_b0_temperature_scaled,age_sex,macro_f1,15,0.007829668023675221,0.05316281323098726,-0.07322140159173923,0.08806700154059272,8
image_efficientnet_b0_temperature_scaled,age_sex,balanced_accuracy,15,-0.040885585003232076,0.05935589582847218,-0.1398405516052575,0.05292950513538741,5
image_efficientnet_b0_temperature_scaled,age_sex,log_loss,15,-0.012014191892501531,0.06295609252646937,-0.1157366122219986,0.11386735983026153,10
image_efficientnet_b0_temperature_scaled,age_sex,ece_10,15,0.019456134916371586,0.04118293723985187,-0.05352081409229965,0.09327496902784345,5
image_efficientnet_b0_temperature_scaled,age_sex,quadratic_weighted_kappa,15,0.08136919904955012,0.08843981609832141,-0.03276443740300883,0.2797352314457996,12
image_efficientnet_b0_temperature_scaled,downstream_plus_age_sex,macro_f1,15,-0.013458445416613648,0.05519349993665504,-0.11176777927252302,0.06590152553106737,7
image_efficientnet_b0_temperature_scaled,downstream_plus_age_sex,balanced_accuracy,15,-0.06442577030812326,0.06088964164126727,-0.1739522732169791,0.02439309056956107,3
image_efficientnet_b0_temperature_scaled,downstream_plus_age_sex,log_loss,15,0.000528291264110714,0.08131656544641064,-0.1286998908544018,0.16671193582410937,9
image_efficientnet_b0_temperature_scaled,downstream_plus_age_sex,ece_10,15,0.014937823177807565,0.04877315454179999,-0.060467608034948224,0.12659526058728351,5
image_efficientnet_b0_temperature_scaled,downstream_plus_age_sex,quadratic_weighted_kappa,15,0.03175680824045665,0.08123130040259972,-0.11022663619783024,0.1570203010894996,9
image_efficientnet_b0_temperature_scaled,majority_class,macro_f1,15,0.2516457889444262,0.044886968981449685,0.18195824619551174,0.3138139098720778,15
image_efficientnet_b0_temperature_scaled,majority_class,balanced_accuracy,15,0.17032667767961884,0.04883771416552357,0.09214519140989735,0.23820297349709124,15
image_efficientnet_b0_temperature_scaled,majority_class,log_loss,15,-0.012283522873249852,0.0535288657338021,-0.10463488566026291,0.09920144145547982,11
image_efficientnet_b0_temperature_scaled,majority_class,ece_10,15,0.09112975414228945,0.03975242944644823,0.03719073802413044,0.18041699112737958,0
image_efficientnet_b0_temperature_scaled,majority_class,quadratic_weighted_kappa,15,0.341895953777629,0.06068074353657103,0.22556435761510507,0.42105263157894723,15
age_sex,majority_class,macro_f1,15,0.24381612092075095,0.031752529223128816,0.183031037788924,0.2965004626566552,15
age_sex,majority_class,balanced_accuracy,15,0.21121226268285095,0.034010050829598105,0.15489657401422108,0.26576976944624003,15
age_sex,majority_class,log_loss,15,-0.0002693309807483205,0.04260997801692026,-0.05697484443839529,0.08432282694669457,7
age_sex,majority_class,ece_10,15,0.07167361922591783,0.018294649577255802,0.037332368078195385,0.09785259418983466,0
age_sex,majority_class,quadratic_weighted_kappa,15,0.26052675472807885,0.06280790208789797,0.10086956521739132,0.3469613259668508,15
