task,model_id,kind,deployment_role,folds,threshold_mean,threshold_sd,accuracy_mean,accuracy_sd,balanced_accuracy_mean,balanced_accuracy_sd,f1_mean,f1_sd,precision_mean,precision_sd,sensitivity_mean,sensitivity_sd,specificity_mean,specificity_sd,log_loss_mean,log_loss_sd,ece_10_mean,ece_10_sd,auroc_mean,auroc_sd,average_precision_mean,average_precision_sd
any_brar_level_2_3_vs_1,age_sex,metadata_guardrail,metadata guardrail,15,0.6545349770229137,0.07895744006265458,0.7294006050351228,0.08037054652327666,0.7503726898510413,0.037490622296225636,0.8099661800820044,0.07089676331714492,0.9430959124160985,0.022060764444388627,0.7183924385256122,0.11150998514663142,0.7823529411764707,0.09868137034009865,0.4067054745017279,0.04120469950618504,0.11249338719949441,0.03239885471218632,0.838713570869018,0.0429967942228883,0.9500415682498397,0.021506209276012257
any_brar_level_2_3_vs_1,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,15,0.6305261837719615,0.055173707775775634,0.7523372472611052,0.057787670392994366,0.7704371349018433,0.039816593543894,0.830175269283567,0.048444482612330295,0.9479397010066808,0.021581289647352394,0.7428350541174125,0.07937623994188986,0.7980392156862746,0.09358216013395372,0.40374944957999886,0.04622878217674893,0.10313902033920974,0.02197650627536206,0.8519656253942547,0.03959303987162651,0.9568709767610954,0.01770579580783285
any_brar_level_2_3_vs_1,image_efficientnet_b0,image_only,primary image-only baseline,15,0.7407473235231169,0.05583665508761401,0.674436411492249,0.06441782705738976,0.695451511444021,0.041148676732074695,0.7676679203248076,0.06113421970619781,0.9239703875438828,0.025151471687656933,0.6634520424958852,0.09643891148094365,0.727450980392157,0.12842763053970835,0.41731284665877333,0.025866685205006668,0.08618148456301028,0.02015186062301973,0.7679037827909856,0.045062669187144425,0.9366649656392987,0.013946887308567397
any_brar_level_2_3_vs_1,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,15,0.723605565378213,0.04920480006387085,0.7054572800765694,0.05196668076462138,0.7103011592187376,0.04673245859193291,0.7961805210926014,0.0450861156651633,0.9240949633034818,0.023062688879754874,0.7029552596139458,0.07246104324753805,0.7176470588235293,0.11105479981316548,0.4082823918254808,0.024391391725591852,0.08538589288915541,0.01883133362299953,0.7781935728054504,0.043726323793733556,0.9392214475854009,0.013104638695850207
any_brar_level_2_3_vs_1,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,15,0.739148297040379,0.06214706493288466,0.6788254798407081,0.07596201387595383,0.7043158966414637,0.035949277351052134,0.7690329473956155,0.07400621504840954,0.9293158961113236,0.02708254710932765,0.6654945383809666,0.11258734885612426,0.7431372549019609,0.1279456034521773,0.4078669716233086,0.02975903045335976,0.08073111120754378,0.023388755444588814,0.7785079496410265,0.050583604891287826,0.9395576917748881,0.013952315437305463
any_brar_level_2_3_vs_1,image_resnet50,image_only,predeclared stronger encoder check,15,0.7354580849003235,0.057761024861599196,0.6883043634312671,0.07327450142925454,0.6968342267327401,0.02909889434115522,0.7792558232478188,0.06700725546552146,0.922416678383374,0.02383891060948542,0.6838645318968528,0.11332865643261177,0.7098039215686274,0.13608949010190707,0.4131889285233426,0.0181286759035329,0.07907662719050824,0.012389256656024219,0.7613350966602412,0.039188527547892996,0.9328250578622466,0.019068629260813173
any_brar_level_2_3_vs_1,image_tile_efficientnet_b0_meanmax,image_only,tile-based image-only baseline,15,0.7387654584519726,0.06954254118338246,0.709883949477858,0.0686954849602136,0.7292683660326318,0.03992130999781436,0.7957397256226373,0.06423945169093752,0.9359670581484261,0.024555935154133544,0.699713202653499,0.10124797041201143,0.7588235294117648,0.12488254491607612,0.38132924139323354,0.019520179129118204,0.07454626246634176,0.021100977411584967,0.8098502785821797,0.03401360933266666,0.9495477419906961,0.011544416712485213
any_brar_level_2_3_vs_1,majority_class,baseline,minimum class-prior baseline,15,0.5,0.0,0.827934163974773,0.00044201268513718606,0.5,0.0,0.9058686310620012,0.00026459709632385274,0.827934163974773,0.00044201268513718606,1.0,0.0,0.0,0.0,0.45914744710873745,0.0006946858014550019,0.0005807152754315536,0.00019053379748693646,0.5,0.0,0.827934163974773,0.00044201268513718606
severe_level_3_vs_1_2,age_sex,metadata_guardrail,metadata guardrail,15,0.42854772603679003,0.06108887924179103,0.6933856329795416,0.09124294471465232,0.568072515272354,0.023695830703054626,0.32522719843146225,0.07234963482456706,0.44130084473585207,0.08842992932398257,0.30600804424333833,0.18589770177568846,0.8301369863013698,0.18609116724427938,0.584057056438878,0.015399776453469348,0.10237003690666129,0.021329339279735796,0.5854562249908746,0.05061503584496028,0.3743391831879234,0.058465125965025774
severe_level_3_vs_1_2,downstream_plus_age_sex,upper_bound,non-deployment upper-bound sensitivity,15,0.379132807709211,0.05806621508242252,0.6457177528243517,0.09771261699114939,0.5840342775677184,0.0364052283930658,0.3914019224171719,0.06473958969345207,0.3970329193768174,0.10307860302532267,0.45482654600301664,0.18967900173988927,0.7132420091324201,0.19221481971583004,0.5714408148680109,0.02539968527245324,0.08889713363943849,0.02168483931271504,0.6367142571816223,0.048126862843394604,0.41545293149027945,0.06435249846168108
severe_level_3_vs_1_2,image_efficientnet_b0,image_only,primary image-only baseline,15,0.31574388726339075,0.07941882235721547,0.6268300603325982,0.0812756585818643,0.6279940356894425,0.04161036999229239,0.4661980017481925,0.05591229795888166,0.38706991883880726,0.057943833175054894,0.6304172951231776,0.1517063281993919,0.6255707762557078,0.15154236274121186,0.5543465071585894,0.038234955984764715,0.08953659996941733,0.03318857340817168,0.6910850430794024,0.04424175231799393,0.45894787471071335,0.048372402947605385
severe_level_3_vs_1_2,image_plus_age_sex,metadata_sensitivity,allowed metadata sensitivity,15,0.314412178046674,0.05035211287242639,0.6373258814883179,0.06064906187828807,0.6370723913028506,0.03294553586817396,0.47706253747803734,0.039232797656363665,0.39115656504975704,0.04446451501896977,0.636701860231272,0.12193237084361389,0.6374429223744292,0.1150040200827548,0.5502418971720171,0.03243554340047627,0.08313157728865377,0.028643837723674365,0.690566437323085,0.04501717817827169,0.45955595497949947,0.05054492078396853
severe_level_3_vs_1_2,image_plus_downstream_age_sex_upper_bound,upper_bound,non-deployment upper-bound sensitivity,15,0.31503197164973,0.056221643798223565,0.630248337862551,0.06856864832234051,0.6364804369236279,0.03314089427865026,0.4774564888960437,0.03913602581124989,0.3880632398689868,0.04547726865301676,0.649673202614379,0.131354422823598,0.6232876712328766,0.1302399427939779,0.5526677963302421,0.032875360901007136,0.08118456914541929,0.020486577703719405,0.6871851691150643,0.049187395877420916,0.4580120913428169,0.05179302411166954
severe_level_3_vs_1_2,image_resnet50,image_only,predeclared stronger encoder check,15,0.3574948493876245,0.0677761033776299,0.6664120049906851,0.08491410439190233,0.6098796807096567,0.037704872659709704,0.4337193944893135,0.05563066938854739,0.41505196370171915,0.08731161240070011,0.4919054801407743,0.1404283651625192,0.7278538812785388,0.15589779375990412,0.5645236428945728,0.02625016538806463,0.07526497617798038,0.016495065656207997,0.6506220858557684,0.0386152327917678,0.43666769495782304,0.06356645615795821
severe_level_3_vs_1_2,image_tile_efficientnet_b0_meanmax,image_only,tile-based image-only baseline,15,0.3522160156699743,0.09093685771013521,0.6615836879796271,0.09037716693622609,0.6308868296176919,0.03576103616149102,0.4660774632413472,0.04674450629546581,0.42469231703519933,0.08511572557059702,0.5663398692810458,0.14510393169242894,0.6954337899543379,0.16670865978582244,0.5380539384611377,0.026276404447882252,0.07610465776172956,0.0205642959371674,0.6965402177730946,0.0365575577327011,0.49800607516184586,0.058165969771755935
severe_level_3_vs_1_2,majority_class,baseline,minimum class-prior baseline,15,0.26113242591392827,0.0009650404273938304,0.2611290570681434,0.001898054471471532,0.5,0.0,0.4141161290322581,0.002388242345619916,0.2611290570681434,0.001898054471471532,1.0,0.0,0.0,0.0,0.5742435817596732,0.001970701191923761,0.0024936551239123973,0.000818174761819071,0.5,0.0,0.2611290570681434,0.001898054471471532
